Nom,Email,Telephone,Ville
Jean Dupont,jean.dupont@email.com,0601020304,Saint-Malo
Marc Durand,m.durand@email.com,0611223344,Rennes
Lucie Morel,l.morel@email.com,0622334455,Dinard
Paul Lefebvre,p.lefebvre@email.com,0633445566,Cancale
Marie Andre,m.andre@email.com,0644556677,Dol-de-Bretagne
Pierre Simon,p.simon@email.com,0655667788,Saint-Brieuc
Julie Michel,j.michel@email.com,0666778899,Fougères
Thomas Roux,t.roux@email.com,0677889900,Lorient
Sarah Garcia,s.garcia@email.com,0688990011,Vannes
Nicolas Laurent,n.laurent@email.com,0699001122,Brest
Chloé David,c.david@email.com,0701020304,Saint-Malo
Kevin Richard,k.richard@email.com,0711223344,Rennes
Camille Martin,c.martin@email.com,0722334455,Dinard
Antoine Bernard,a.bernard@email.com,0733445566,Nantes
Manon Petit,m.petit@email.com,0744556677,Quimper
Lucas Robert,l.robert@email.com,0755667788,Saint-Malo
Emma Richard,e.richard@email.com,0766778899,Rennes
Hugo Petit,h.petit@email.com,0777889900,Laval
Léa Durand,l.durand@email.com,0788990011,Angers
Nathan Leroy,n.leroy@email.com,0799001122,Redon
Zoé Moreau,z.moreau@email.com,0612345678,Saint-Malo
Enzo Simon,e.simon@email.com,0623456789,Rennes
Jade Michel,j.michel2@email.com,0634567890,Dinan
Léo Garcia,l.garcia@email.com,0645678901,Saint-Malo
Inès Lefebvre,i.lefebvre@email.com,0656789012,Combourg
Louis Roux,l.roux2@email.com,0667890123,Saint-Malo
Clara David,c.david2@email.com,0678901234,Saint-Malo
Mathis Laurent,m.laurent@email.com,0689012345,Rennes
Lola Bernard,l.bernard@email.com,0690123456,Paramé
Arthur Martin,a.martin@email.com,0609876543,Saint-Malo
